0x01000000	test1
0x010C4600	PHONE_フナムシ
0x010C463D	PHONE_地雷
0x010C4667	PHONE_リモコン近道
0x010C46E6	RPD_P_ダミーうほほ
0x010C4725	RPD_P_ダミー＿顔カメラ＿タンカーオタコン
0x010C4751	RPD_P_ダミー＿顔カメラ＿タンカースネーク
0x010C477D	RPD_P_ダミー＿顔カメラ＿ライデン
0x010C47BA	RPD_P_ダミー＿顔カメラ＿潜水ライデン
0x010C4809	RPD_P_ダミー＿顔カメラ＿裸ライデン
0x010C4853	RPD_P_ダミー＿顔カメラ＿ゴルルコ兵マスクなしライデン
0x010C4891	RPD_P_ダミー＿顔カメラ＿ゴルルコ兵マスクありライデン
0x010C48CE	RPD_P_ダミー＿顔カメラ＿大佐
0x010C49BC	RPD_P_ダミー＿顔カメラ＿大佐＿右
0x010C49FA	RPD_P_ダミー＿顔カメラ＿大佐＿左
0x010C4A38	RPD_P_ダミー＿顔カメラ＿大佐＿後ろ
0x010C4A76	RPD_P_ダミー＿顔カメラ＿大佐＿正面
0x010C4AB4	RPD_P_ダミー＿顔カメラ＿大佐＿アオリ
0x010C4AF2	RPD_P_ダミー＿顔カメラ＿大佐＿アップ
0x010C4B30	RPD_P_ダミー＿顔カメラ＿バグ大佐＿右
0x010C4B6F	RPD_P_ダミー＿顔カメラ＿バグ大佐＿左
0x010C4BAE	RPD_P_ダミー＿顔カメラ＿バグ大佐＿後ろ
0x010C4BED	RPD_P_ダミー＿顔カメラ＿バグ大佐＿正面
0x010C4C2C	RPD_P_ダミー＿顔カメラ＿バグ大佐＿アオリ
0x010C4C6B	RPD_P_ダミー＿顔カメラ＿バグ大佐＿アップ
0x010C4CAA	RPD_P_ダミー＿顔カメラ＿ローズ
0x010C4CD5	RPD_P_ダミー＿顔カメラ＿プリスキン
0x010C4CFF	RPD_P_ダミー＿顔カメラ＿スネーク
0x010C4D2B	RPD_P_ダミー＿顔カメラ＿ひげそりスネーク
0x010C4D55	RPD_P_ダミー＿顔カメラ＿ピーター
0x010C4D81	RPD_P_ダミー＿顔カメラ＿オタコン
0x010C4DAE	RPD_P_ダミー＿顔カメラ＿忍者
0x010C4DE9	RPD_P_ダミー＿顔カメラ＿オルガ
0x010C4E17	RPD_P_ダミー＿顔カメラ＿エイムズ
0x010C4E41	RPD_P_ダミー＿顔カメラ＿大統領
0x010C4E85	RPD_P_ダミー＿顔カメラ＿エマ
0x010C4EB8	RPD_P_ダミー＿顔カメラ＿エマプレイヤー側
0x030C4EF7	RPD_P001_02_R01_オープニング潜入２無線デモ１
0x010C545A	RPD_P001_04_R02_オープニング潜入４無線デモ２
0x020C5565	RPD_P002_02_R01_Ａ脚底部連結ハッチ２無線デモ１
0x030C576E	RPD_P003_02_R02_スネーク昇降機上昇２無線デモ１
0x050C5D45	RPD_P004_02_R01_ノード初接続２無線デモ１
0x010C670E	RPD_P005_03_R01ライデン昇降機上昇３無線デモ１
0x010C68CF	RPD_P005_05_R02_ライデン昇降機上昇５無線デモ２
0x020C697C	RPD_P006_01_R01_Ａ脚金網１無線デモ１
0x010C6CBD	RPD_P007_01_R01_Ａ脚ノード前１無線デモ１＿１
0x030C6DEF	RPD_P008_01_R01_ＡＢ連絡橋１無線デモ１＿１
0x030C7289	RPD_P009_01_R01_サイファー遭遇１無線デモ１＿１
0x010C76CC	RPD_P010_04_R01_ヴァンプ遭遇４無線デモ１＿１
0x020C7850	RPD_P011_01_R01_ＢＣ連絡橋ＣＡＬＬ１無線デモ１
0x040C7BF9	RPD_P012_02_R01_フォーチュン遭遇２無線デモ１
0x020C835B	RPD_P013_01_R01_ライデン危機無線１無線デモ１
0x030C8667	RPD_P014_05_R01_ピーター遭遇５無線デモ１
0x020C8A6A	RPD_P015_01_R1_爆弾解体最初の一つ１無線デモ１
0x020C8E1E	RPD_P016_01_R1_爆弾解体半分解体１無線デモ１
0x020C919A	RPD_P017_01_R01_爆弾解体中ローズその１無線デモ１
0x020C9433	RPD_P018_01_R01_爆弾解体中ローズその２無線デモ１
0x030C9784	RPD_P019_01_R01_爆弾解体中ローズその３無線デモ１
0x020C9C79	RPD_P020_01_R01_地雷原１無線デモ１
0x020C9E87	RPD_P020_01_R01_地雷原１無線デモ１＿２
0x020CA0A8	RPD_P021_02_R01_爆弾解体オルガ登場２無線デモ１
0x060CA2C5	RPD_P022_01_R01_爆弾解体最後から二つ目１無線デモ１
0x030CAD1B	RPD_P023_01_R01_爆弾解体最後の一つ１無線デモ１
0x020CB224	RPD_P024_01_R01_爆弾解体センサーＢ入手１無線デモ１
0x020CB5CE	RPD_P025_01_R01_爆弾解体昇降機下１無線デモ１
0x020CB8B4	RPD_P025_01_R01_爆弾解体昇降機下１
0x020CBBE2	RPD_P026_01_R01_爆弾解体終了１無線デモ１
0x030CBF10	RPD_P027_01_R01_爆弾解体後昇降機ホール１無線デモ１
0x020CC394	RPD_P030_01_R01_フォーチュン戦中無線無線デモ１
0x020CC5FB	RPD_P035_01_R01_ファットマン爆弾解体終了１無線デモ１
0x030CC8AE	RPD_P035_01_R01_ファットマン爆弾解体終了１無線デモ１＿２
0x030CCDE0	RPD_P036_03_R01_忍者登場３無線デモ１
0x020CD1EE	RPD_P036_08_R02_忍者登場８無線デモ２
0x010CD418	RPD_P036_10_R03_忍者登場１０無線デモ３
0x020CD589	RPD_P036_13_R04_忍者登場１３無線デモ４
0x020CD8E3	RPD_P037_01_R01_スネークの遺体１無線デモ１
0x040CDC2F	RPD_P040_02_R02_エイムズ発見２無線デモ１
0x030CE352	RPD_P040_06_R02_エイムズ発見６無線デモ２＿１
0x010CE8A9	RPD_P040_06_R02_エイムズ発見６無線デモ２＿２
0x030CEA43	RPD_P041_02_R01_エイムズ死亡後２無線デモ１
0x020CEEF7	RPD_P042_01_R01_シェル１シェル２連絡橋１無線デモ１
0x030CF1F8	RPD_P044_01_R01_赤外線センサークリア１無線デモ１
0x030CF626	RPD_P044_01_R01_赤外線センサークリア１無線デモ１＿２
0x040CFAF6	RPD_P046_02_R01_ハリアー戦勝利２無線デモ１＿１
0x030D0258	RPD_P046_02_R01_ハリアー戦勝利２無線デモ１＿２
0x020D07D8	RPD_P047_05_R01_電撃床前オルガ５無線デモ１
0x040D0BA0	RPD_P049_02_R01_大統領２無線機デモ１
0x030D12A9	RPD_P049_02_R01_大統領５無線機デモ２
0x040D178F	RPD_P049_08_R03_大統領８無線機デモ３
0x030D1DEF	RPD_P049_10_R04_大統領１０無線機デモ４
0x030D23D4	RPD_P049_12_R05_大統領１２無線機デモ５
0x030D2927	RPD_P050_01_R01_タンカー編整理１無線機デモ１
0x010D2DC3	RPD_P050_04_R02_タンカー編整理４無線機デモ２
0x020D2F73	RPD_P050_06_R03_タンカー編整理６無線機デモ３
0x060D32A8	RPD_P051_01_R01_エマとオタコン１無線機デモ１
0x020D3D5D	RPD_P051_01_R01_エマとオタコン１無線機デモ１＿２
0x030D4007	RPD_P052_01_R01_ローズ無線１無線機デモ１
0x030D4560	RPD_P053_01_R01_息継ぎ１無線機デモ１
0x010D4AF3	RPD_P057_02_R01_ヴァンプ戦終了２無線機デモ１
0x020D4C99	RPD_P057_02_R01_ヴァンプ戦終了２無線機デモ１＿２
0x020D4FB5	RPD_P058_02_R01_エマ救出２無線機デモ１
0x020D51E2	RPD_P058_04_R02_エマ救出４無線機デモ２
0x010D542A	RPD_P058_07_R03_エマ救出７無線機デモ３
0x020D55E8	RPD_P059_03_R01_エマ休憩３無線機デモ１
0x020D5916	RPD_P061_01_R01_エマとオタコン１無線機デモ１
0x060D5D0E	RPD_P062_03_R01_エマとＡＩ３無線機デモ１
0x030D67CE	RPD_P062_05_R02_エマとＡＩ５無線機デモ２
0x020D6C10	RPD_P064_01_R01_エマライデンローズ無線１無線機デモ１
0x020D6F17	RPD_P065_02_R01_エマＬ脚２無線機デモ１
0x030D7125	RPD_P065_06_R02_Ｌ脚エマ６無線機デモ２
0x010D75F1	RPD_P067_01_R01_エマ狙撃１無線機デモ１
0x010D7756	RPD_P069_02_R01_ヴァンプ狙撃終了２無線機デモ１
0x020D78EB	RPD_P069_04_R02_ヴァンプ狙撃終了４無線機デモ２
0x010D7AF6	RPD_P070_10_R01_ＡＧ起動１０無線機デモ１
0x030D7C08	RPD_P070_18_R02_ＡＧ起動１８無線機デモ２
0x020D806F	RPD_P070_20_R03_ＡＧ起動２０無線機デモ３
0x050D844C	RPD_P070_23_R04_ＡＧ起動２３無線機デモ４
0x020D8D4F	RPD_P071_01_R01_拷問部屋脱出１無線機デモ１
0x020D9135	RPD_P072_01_R01_大佐混乱１無線機デモ１
0x040D9442	RPD_P073_01_R01_通路Ａ１無線機デモ１
0x020D9A96	RPD_P073_03_R02_通路Ａ３無線機デモ２
0x020D9D30	RPD_P074_02_R01_通路Ａ刀後２無線機デモ１
0x020DA0FE	RPD_P075_01_R01_オタコン無事１無線機デモ１
0x030DA37C	RPD_P076_01_R01_大佐ＡＩ１無線機デモ１
0x020DA78B	RPD_P077_01_R01_ローズ拉致１無線機デモ１
0x020DAA30	RPD_P077_01_R01_ローズ拉致１無線機デモ１＿ひげそり
0x090DACD5	RPD_P080_19_R01_ＡＧ浮上１９無線機デモ１
0x080DBD19	RPD_P080_21_R02_ＡＧ浮上２１無線機デモ２
0x010DCCC3	RPD_P080_23_R03_ＡＧ浮上２３無線機デモ３
0x040DCEB6	RPD_P080_25_R04_ＡＧ浮上２５無線機デモ４
0x050DD63D	RPC_発狂ＣＡＬＬ
0x280DDEB8	RPC_大佐デフォルト
0x040E2D68	RPC_大佐デフォルト＿フォーチュン戦中
0x010E33A1	RPC_ファットマン戦中救済ＣＡＬＬ
0x1D0E359D	RPC_大佐デフォルト＿ファットマン戦中と後
0x040E6E76	RPC_大佐デフォルト＿エマ狙撃中
0x020E7516	RPC_大佐デフォルト＿ヴァンプ戦中
0x040E77D2	RPC_大佐デフォルト＿ハリアー戦中
0x1B0E7E02	RPC_w25a_大佐デフォルト＿狙撃中
0x1B0EB3B7	RPC_w11b_大佐デフォルト
0x090EE830	RPC_大佐デフォルト＿発狂後
0x0B0EF9F1	RPC_大佐デフォルト＿裸ライデン
0x0D0F0E50	RPC_大佐デフォルト＿潜水ライデン
0x1C0F2810	RPC_w11＿開かない金網扉＿潜水ライデン
0x1C0F5F35	RPC_w11b＿開かない金網扉＿普通
0x1C0F965A	RPC_ホフクポイント＿潜水ライデン
0x280FCD81	RPC_ホフクポイント＿普通
0x1C101C56	RPC_ダクト＿潜水ライデン
0x28105374	RPC_ダクト＿普通
0x1D10A240	RPC_水中＿潜水ライデン
0x1D10DBF4	RPC_w11b_水中
0x1D1115A8	RPC_水中＿潜水ライデン＿はしご
0x1D114F78	RPC_水中＿w11b
0x1D11892C	RPC_水中＿w11b＿はしご
0x2911C2FC	RPC_水中＿普通
0x1C12145D	RPC_w11b_エルード＿潜水
0x1C124B77	RPC_w11b_エルード＿普通
0x28128291	RPC_エルード＿普通
0x1C12D277	RPC_段差上り＿潜水ライデン
0x28130980	RPC_段差上り＿普通
0x1C135955	RPC_海底ドック潜水艇＿潜水ライデン
0x1C139104	RPC_ジムスーツ＿潜水ライデン
0x1C13C897	RPC_w11_ロッカーlk001＿潜水ライデン
0x29140054	RPC_w11_ロッカーlk001＿普通
0x1C1450D2	RPC_w11_ロッカーlk002＿潜水ライデン
0x2914888F	RPC_w11_ロッカーlk002＿普通
0x1C14D90D	RPC_w11_ロッカーlk003＿潜水ライデン
0x291510CA	RPC_w11_ロッカーlk003＿普通
0x1C156148	RPC_水密扉＿潜水ライデン
0x1D1598B3	RPC_w11＿ノード＿潜水ライデン
0x0E15D0E3	RPC_w11＿昇降機＿潜水ライデン
0x0115EB0B	RPC_w11a_敵兵おっきした警告ＣＡＬＬ＿潜水ライデン
0x0115EC90	RPC_Ａ脚屋上ホフク金網ＣＡＬＬ
0x2815EE7C	RPC_Ａ脚屋上ホフク金網
0x28163D98	RPC_奈落エルード
0x28168C85	RPC_w20b_ヘリポート＿オイ渕１
0x2816DB75	RPC_w20b_ヘリポート＿オイ渕２
0x28172A65	RPC_鳴り床奈落エルード
0x2817796C	RPC_鳴り床エルード
0x2817C850	RPC_ただのエルード
0x28181836	RPC_鳴り床
0x28186701	RPC_落し穴共通１
0x2818B5D0	RPC_落し穴共通２
0x2819049F	RPC_落し穴＿奈落エルード１
0x281953AA	RPC_落し穴＿奈落エルード２
0x2919A2B5	RPC_地雷＿奈落エルード
0x2819F3D3	RPC_w11_昇降機エルード
0x281A42DC	RPC_w12a_Ａ脚屋上鍵扉閉鎖状態
0x291A91A7	RPC_フナムシ＿普通
0x1D1AE2C2	RPC_フナムシ＿潜水
0x281B1B20	RPC_フナムシ＿エマ虫いや
0x281B6B0D	RPC_ロッカー共通１
0x281BBA72	RPC_ロッカー共通２
0x1C1C09D7	RPC_w11_ロッカー共通１＿潜水
0x1C1C4197	RPC_w11_ロッカー共通２＿潜水
0x1C1C7957	RPC_w11_ロッカー共通１＿普通
0x1C1CB117	RPC_w11_ロッカー共通２＿普通
0x281CE8D7	RPC_変電盤共通１
0x281D37B4	RPC_変電盤共通２
0x281D8691	RPC_開かないロッカー共通１
0x281DD562	RPC_開かないロッカー共通２
0x281E2433	RPC_ノード共通
0x281E73CA	RPC_眠りプリスキン
0x281EC2A6	RPC_海軍大佐死体
0x281F1173	RPC_カードドア
0x281F6064	RPC_ダンボール地帯
0x281FAF43	RPC_天岩戸
0x281FFE0E	RPC_w18a_シェル２への扉
0x28204CF3	RPC_Ｄ脚＿ハッチ
0x01209BCF	RPC_Ｄ脚＿ハッチＣＡＬＬ
0x28209D30	RPC_大佐＿Ｅ脚１Ｆ＿デフォルト
0x2820EC21	RPC_w20b_ハリアー
0x01213B18	RPC_かもめさん殺戮ＣＡＬＬ
0x28213CCF	RPC_エレベータ内部
0x28218C11	RPC_w24a_エレベータスイッチ前
0x2821DBC6	RPC_w24b_網膜センサー前
0x01222AFB	RPC_w24b_網膜センサー＿ライデンが自分で覗きやがったぶりんちょＣＡＬＬ
0x02222C60	RPC_w24a_エレベータ前ＣＡＬＬ
0x28222EA8	RPC_w24d_エマ席付近
0x28227E15	RPC_w24d_オタク席付近
0x2822CD08	RPC_w24d_ＡＧ扉前
0x02231BF2	RPC_w24c_人質イベント説明＿マイクありＣＡＬＬ
0x02231FB4	RPC_w24c_人質イベント説明＿マイクなしＣＡＬＬ
0x2823222E	RPC_炎近く
0x2823712A	RPC_ＤＧ連絡橋＿渡り方飛びズバリ
0x2823C00D	RPC_ＤＧ連絡橋＿渡り方エルードズバリ
0x28240F1E	RPC_ＬＧ連絡橋＿ハシゴ
0x28245DEE	RPC_Ｌ脚外周＿窓
0x2824ACE7	RPC_Ｌ脚外周＿張り付き
0x2824FBBF	RPC_Ｌ脚外周＿しゃがみ
0x28254A89	RPC_ＫＬ連絡橋＿Ｋ脚入口
0x28259971	RPC_シェル２中央棟１Ｆ＿電撃床
0x2825E867	RPC_シェル２中央棟１Ｆ＿暗い
0x28263742	RPC_シェル２中央棟１Ｆ＿ダクト前
0x0126866D	RPC_w31b_初入水＿水上ＣＡＬＬ
0x01268852	RPC_w11ab_初入水＿水上ＣＡＬＬ＿潜水
0x012689D7	RPC_w11ab_初入水＿水上ＣＡＬＬ＿普通
0x02268B5C	RPC_w31b_初入水＿水中ＣＡＬＬ
0x02268DE8	RPC_w11a_初入水＿水中ＣＡＬＬ＿潜水
0x02269026	RPC_w11a_初入水＿水中ＣＡＬＬ＿普通
0x29269264	RPC_大佐デフォルト＿泳ぎ
0x2926E3CB	RPC_水中機雷近く
0x29273549	RPC_水中開かない水密扉
0x292786C3	RPC_水中開く水密扉
0x1A27D844	RPC_エマ救出前＿エマ部屋
0x29280B4F	RPC_水中＿カード扉
0x29285CCA	RPC_エマのぞき
0x0128AE57	RPC_w31c_エマのぞきＣＡＬＬ
0x0128B057	RPC_w31c_エマと初出水ＣＡＬＬ
0x0128B22D	RPC_w32a_ハシゴＣＡＬＬ
0x2828B34A	RPC_Ｅ脚ハシゴ
0x0B290225	RPC_拷問部屋＿開かない扉
0x0B2916A3	RPC_w41a_ノード近く
0x01292B21	RPC_w11a_海底ドック危険モード回避のススメＣＡＬＬ
0x01292CC5	RPC_w11a_海底ドック催促ＣＡＬＬ
0x02292E46	RPC_w11a_敵兵武器使用不可ＣＡＬＬ
0x0129320A	RPC_w11a_流血ＣＡＬＬ
0x1C2933FA	RPC_w11a＿海底ドックＶＲ
0x02296B4E	RPC_w11a_クリアリングＣＡＬＬ
0x02296EB3	RPC_w12b_クリアリングＣＡＬＬ
0x01297218	RPC_ＬＩＦＥゼロ寸前ＣＡＬＬ
0x0229733C	RPC_レーション取得時ＣＡＬＬ＿潜水
0x022976CD	RPC_レーション取得時ＣＡＬＬ＿普通
0x02297A5E	RPC_w12b_敵兵倒したＣＡＬＬ
0x01297CCB	RPC_w24c_人質殴ったＣＡＬＬ
0x28297E76	RPC_連絡橋＿大佐デフォルト
0x2929CE0C	RPC_連絡橋かもめ＿大佐デフォルト
0x292A1E27	RPC_サイファー連絡橋＿大佐デフォルト
0x292A6E32	RPC_ＢＣ連絡橋壊れた橋
0x292ABE6C	RPC_ガンサイファーかもめ連絡橋＿大佐デフォルト
0x292B0EAC	RPC_w21a_地雷地帯
0x282B5F94	RPC_w28a_開かないドア
0x042BAE69	RPC_フォーチュン戦＿戻れない
0x282BB513	RPC_男子便所便器
0x282C04A7	RPC_女子便所便器
0x282C5441	RPC_コワレモノ近辺
0x282CA34C	RPC_w18a_デフォルト
0x282CF239	RPC_w24c_ギャルパンツ見え地帯
0x012D4146	RPC_w25a_自殺ダイブＣＡＬＬ
0x282D4273	RPC_w22a_おもしろ赤外線センサー
0x012D9228	RPC_懸垂握力ＬＶ２ＣＡＬＬ＿普通
0x012D935E	RPC_懸垂握力ＬＶ２ＣＡＬＬ＿潜水
0x012D9494	RPC_懸垂握力ＬＶ３ＣＡＬＬ＿普通
0x012D95D7	RPC_懸垂握力ＬＶ３ＣＡＬＬ＿潜水
0x012D971A	RPC_懸垂握力上がらないＣＡＬＬ＿普通
0x012D9880	RPC_懸垂握力上がらないＣＡＬＬ＿潜水
0x032D99E6	RPC_w61a_愛国説教ＣＡＬＬ
0x012D9E16	RPC_ハリアー戦中レーダー使用可能ＣＡＬＬ
0x022D9F61	RPC_フォーチュン戦中救済ＣＡＬＬ
0x282DA166	RPC_w25d_はしなおた
0x282DF03E	RPC_w25d_Ｋ脚入口
0x282E3F0D	RPC_監視カメラ近く
0x282E8E28	RPC_うんこ
0x282EDD30	RPC_w20a_エマ血痕
0x012F2C31	RPC_ニキータ本体取得時ＣＡＬＬ
0x012F2DCF	RPC_w22a_赤外線ＣＡＬＬ
0x012F2F64	RPC_マイク取得時ＣＡＬＬ
0x012F30BB	RPC_w24b_網膜センサー＿死んでる敵兵ダメＣＡＬＬ
0x012F321A	RPC_w24b_網膜センサーヒントＣＡＬＬ
0x012F338A	RPC_w25c_ローリング飛び越えＣＡＬＬ
0x292F349D	RPC_w25c_ローリング飛び越え地帯
0x012F850B	RPC_w11a_敵兵がエレベータ内にいますよＣＡＬＬ
0x012F8623	RPC_敵兵がエレベータ内にいますよＣＡＬＬ
0x092F873B	RPE_エマデフォルト
0x0B2F98F2	RPO_オタコンデフォルト
0x0B2FAE3F	RPO_w44a_南開かない扉
0x0B2FC3AE	RPO_w44a_天狗通路ドア扉
0x012FD92F	RPO_w61a_ソリダス戦救済ＣＡＬＬ
0x0E2FDAF0	RPP_ピーターデフォルト
0x012FF58C	RPP_爆弾ヒント＿Ａ脚ホフクＣＡＬＬ
0x0E2FF6EF	RPP_天岩戸
0x0E3011DC	RPP_w14a_変電盤爆弾近く
0x0E302C9F	RPP_w16b_女子トイレ爆弾近く
0x1C304776	RPR_ローズデフォルト
0x1C307EFA	RPR_ローズデフォルト＿裸ライデン
0x1C30B684	RPR_ローズデフォルト＿潜水ライデン
0x0130EE08	RPS_おやすみプリスキン
0x2930EFA2	RPS_プリスキン＿ピーターデフォルト
0x29314180	RPS_プリスキン＿オタコンデフォルト
0x0731935E	RPS_プリスキン＿オタコン＿ハリアー戦中
0x29319F97	RPS_プリスキン＿オタコンデフォルト＿ゴルルコ兵マスクあり
0x2931F175	RPS_スネークデフォルト
0x29324353	RPS_Ｅ脚ハシゴ
0x29329537	RPS_w21a_地雷地帯＿ピーター付き
0x2932E71E	RPS_w21a_地雷地帯＿オタコン付き
0x2A333905	RPS_水中機雷近く
0x2A338B50	RPS_w20a_べるこんのりば
0x2A33DD61	RPS_女子便所
0x29342F85	RPS_ピーター死体
0x29348183	RPS_w31c_プール近く
0x2234D367	RPS_サイファー連絡橋＿デフォルト
0x2935164F	RPS_ヴァンプ狙撃以降開かない扉
0x2935683A	RPS_w20a_エマ血痕
0x0135BA36	RPS_ヴァンプ狙撃以降開かない扉ＣＡＬＬ
0x0235BB89	RPS_w25a_ＰＳＧ１ハマリＣＡＬＬ
0x0135BDF4	RPS_ＰＳＧ１本体取得時ＣＡＬＬ
0x0235BF38	RPS_ＡＫ本体取得時ＣＡＬＬ
